Country/Territory,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis,Country Income Category,Current Amount of Aid Given by US ($USD),Constant Amount of Aid Given by US ($USD),Longitude,Latitude
Nauru,0,0,0,2,0,9,5,3,2,0,5,124,25,19,0,10,0,3,0,36,0,27,15,0,2,18,18,10,13,0,0,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,207681,254009,166.931503,-0.522778
Nepal,37391,41405,13742,108221,1643,62520,13560,80001,34487,658,301406,913752,502770,519032,5022,88624,15571,355418,6599,406878,14447,54405,85814,17920,95262,66812,822694,188003,273247,5157,26986,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,2219420692,2925766883,84.124008,28.394857
Netherlands,1389,89752,19733,2843,0,1149,2259,126,1330,1792,1500,524024,83129,4957,4575,24731,18,4530,240,618902,219,42040,37440,202,2003,11988,117794,22316,76658,1442,65,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,3208446,4348171,5.291266,52.132633
New Zealand,160,16907,3348,128,0,541,612,74,103,572,173,105925,7040,1334,520,5277,223,722,68,91430,0,5875,7434,87,99,3816,20392,2652,9376,232,10,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,4102025,5319214,174.885971,-40.900557
Nicaragua,4238,13636,4081,8905,286,5214,12919,2710,6618,255,7083,168887,37149,41187,8106,9281,4855,25264,87,86863,329,34246,57195,822,8855,18379,27119,30148,45063,833,283,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,2129460178,3366604662,-85.207229,12.865416
Niger,314819,14695,4065,123982,693962,25082,36765,78160,69439,242,173078,329937,742507,525214,2000,18126,488,1021934,2986,125297,3353,37512,44573,12042,121040,61895,74913,71448,134701,17060,10238,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,2293237149,2910211851,8.081666,17.607789
Nigeria,1520376,241713,66545,286858,6422063,103723,306846,525566,2216718,4897,1769390,4176488,5917528,5262229,28341,190297,1899,7449328,26363,1618730,78908,541020,464656,107604,270470,487695,641714,995203,1716202,110784,119860,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,8376630651,10501043119,8.675277,9.081999
Norway,131,14317,2698,422,0,352,221,12,112,1682,287,82409,11846,437,1465,3450,40,2087,206,72304,78,4189,4361,144,384,1423,15521,2178,8395,383,12,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,317823,403030,8.468946,60.472024
Oman,562,3670,1297,1572,315,3524,628,737,1388,271,821,132123,11765,13415,175,2688,154,1350,284,28365,0,14973,4155,667,113,56856,6578,6390,8187,590,1334,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,514352046,744237467,55.923255,21.512583
Pakistan,752870,244109,92715,452930,213590,125812,344555,503820,36968,17829,2309703,7745192,2429268,7753349,45501,380916,88169,3187522,14001,3633069,67235,845343,874990,67217,296019,421970,2276479,1039240,1523030,75442,293025,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,18982874456,25305556498,69.345116,30.375321
Palau,0,40,25,0,0,50,56,1,18,0,25,1327,427,43,0,75,0,30,0,694,0,412,246,16,0,87,375,80,131,25,0,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,852702145,1290786808,134.58252,7.51498
Panama,1564,18634,3363,4563,55,4466,14278,1347,13521,320,6188,118409,17881,13165,694,5252,201,5690,39,79014,51,21135,19391,405,4247,15935,18302,9991,19381,558,110,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,977592388,1620565130,-80.782127,8.537981
Papua New Guinea,21081,7989,3979,6284,35997,8916,15262,19822,64513,435,41706,293524,165597,99287,1780,5864,3062,85282,662,102728,280,83158,14072,3358,6194,47315,150913,12946,28270,16201,2680,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,109974643,144754378,143.95555,-6.314993
Paraguay,3527,24340,4019,6825,21,4752,21556,4264,10234,209,7227,213030,38303,37494,4506,8268,166,11878,141,118741,69,42714,30102,441,6707,30291,21518,14728,33720,1597,86,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,527578060,723806117,-58.443832,-23.442503
Peru,9205,119043,27585,60855,5267,29588,35797,30220,56394,4034,118995,681021,508053,221763,10689,26655,3624,74514,4077,706096,9611,89295,158881,6631,56273,131011,148708,156657,300421,10742,2001,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,4989756635,7396833881,-75.015152,-9.189967
Philippines,95695,200646,45991,124822,10584,148009,455790,60207,110923,6722,863796,3724705,1387188,878090,30253,101766,46892,407292,4603,1644164,24968,518565,588007,6190,109742,272369,778269,317620,674218,27453,14501,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,6564697313,9574335199,121.774017,12.879721
Poland,7276,361248,76105,2984,0,37071,30348,1019,3314,6337,33190,5233134,266728,49477,114388,224860,241,3874,12988,3062100,42,188412,142563,14332,2169,190943,343254,243505,500794,20375,409,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,5383310555,8168550788,19.145136,51.919438
Portugal,2028,117671,26758,3832,0,4219,7301,266,23564,1730,10734,1168117,172377,8056,4609,44312,133,3272,1191,807152,11,116415,87915,992,3018,60113,172346,80697,156107,5116,356,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,703531271,1295593752,-8.224454,39.399872
Qatar,63,336,172,14,0,452,265,91,49,64,106,11104,743,1228,57,1384,0,59,37,7184,2,3428,1248,78,3,7924,655,1665,2079,392,25,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,12925169,17010655,51.183884,25.354826
Romania,5396,168815,45803,1841,0,35349,20677,2361,7929,5639,54183,4474916,206799,31980,33121,79917,349,4394,11979,1352953,633,63448,69874,18663,1511,100480,288146,329765,449027,16599,968,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1122361870,1696909147,24.96676,45.943161
Russia,58264,948599,230485,15441,0,409516,1186844,14070,347302,254957,519475,33012879,1091053,222236,1167595,1747459,3000,26354,559627,8803298,38933,361111,316410,290263,7928,1027927,1460213,1217106,2355107,315368,3439,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,18977232414,28299688722,105.318756,61.52401
Rwanda,53384,12203,2943,75861,198066,8955,11964,36469,226568,351,209473,278336,259524,209929,2729,20201,458,308316,1687,148334,528779,41385,28155,6139,73568,70689,67750,66153,108696,6722,6988,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,3381686300,4599957633,29.873888,-1.940278
Sao Tome and Principe,261,345,106,518,2112,107,256,264,12,10,771,6589,3704,1971,37,88,0,1598,0,3103,0,332,1144,38,496,518,2147,1402,1941,13,103,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,30643471,46952755,6.613081,0.18636
Saudi Arabia,4030,27306,9678,1737,365,13421,6162,5714,9782,2666,32724,761734,81422,71730,1500,22557,416,10547,180,189268,955,48573,109249,4177,1650,325224,67863,65901,85178,12329,1303,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,14574900,19527743,45.079162,23.885942
Senegal,71048,23104,6362,27936,313661,9480,4163,47596,66251,370,118330,344242,239054,314856,1882,24096,274,296554,1831,158631,2352,50220,53574,6364,26812,44652,64657,56647,103066,7876,3470,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,3006112485,4009442698,-14.452362,14.497401
Serbia,975,48021,16612,425,0,3611,7659,284,1536,1402,6179,1535739,30805,13437,10165,47957,109,720,1666,626897,11826,81814,51168,1169,219,24709,95405,37826,102066,2820,175,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1222389014,1734071496,21.005859,44.016521
Seychelles,120,446,142,66,0,325,156,33,123,24,145,6339,1676,324,26,228,8,160,0,3820,0,502,948,21,61,397,847,787,1280,60,17,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,29688274,47145551,55.491977,-4.679574
Sierra Leone,65418,10415,2970,59264,394491,9389,2659,33292,63856,171,83713,204497,261440,222639,989,9473,1564,164175,1236,75543,21270,22070,23124,4730,57962,33622,36038,32012,56378,6096,6856,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,1142787578,1572666904,-11.779889,8.460555
Singapore,287,18144,3353,34,0,591,1047,75,935,235,2100,139649,54116,1397,226,11557,0,638,50,121948,5,7113,10989,102,19,5596,17762,5137,11250,284,26,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,22519962,29803862,103.819836,1.352083
Slovenia,240,22620,4219,75,0,752,769,38,100,572,603,195597,16903,927,4231,14730,49,126,593,146352,1,11061,4926,254,18,7027,17071,18533,31860,349,27,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,83752960,120589210,14.995463,46.151241
Solomon Islands,670,431,417,993,4811,2886,1078,1761,561,80,1322,48085,15041,4499,255,3308,145,8630,82,12015,4,7852,2807,389,984,3695,8138,3028,4532,502,388,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,56771022,68104031,160.156194,-9.64571
Somalia,104739,8593,2520,255787,120767,19779,54614,68767,83076,374,468031,366002,546989,439571,2876,26119,3180,504287,5191,159580,51392,51124,36974,13080,250235,73067,84506,78108,123721,13471,26233,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,5813023545,7293884977,46.199616,5.152149
South Africa,79896,141842,29281,94315,6150,59316,681957,56368,4874296,7414,789786,2234693,983661,674828,17782,248248,877,600313,15128,1360234,3788,609364,278319,20736,91068,638445,556637,186085,390351,71250,4701,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,8165129243,10737226083,22.937506,-30.559482
South Sudan,33982,5768,1228,50438,73287,3938,11938,10009,79595,124,65188,90494,134031,142211,681,5514,273,113081,1084,51965,21173,14190,11937,2586,49631,14114,17826,21982,35583,3294,3270,Low Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income CountryLow Income Country,6366771236,7587240794,31.4659,26.5225
Spain,5373,499987,101895,7476,0,12380,8718,481,44101,16606,13316,2705353,245807,19086,8758,82025,351,16400,1857,2337016,692,214276,246021,3008,4429,106170,658914,203291,469804,5909,335,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,50993682,68773412,-3.74922,40.463667
Sri Lanka,11783,75095,16844,7428,7106,32172,31380,5458,1926,4091,41538,1149527,130288,76201,15616,168817,37228,47298,2512,399926,82347,232901,122796,2953,6971,94894,351548,141622,168215,11899,875,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,1381668017,1984305654,80.771797,7.873054
Sudan,49179,61135,15259,69542,96870,59729,30820,86541,91037,6426,54898,1835837,356474,896796,2419,48495,1059,538236,1969,350807,87489,51731,103561,24364,66827,205297,208716,108933,166401,44990,63774,Lower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income CountryLower Middle Income Country,1693841409,2011771704,30.217636,12.862807
Suriname,307,2029,430,497,834,760,1272,274,3275,72,332,29978,3705,5434,327,3461,0,1489,7,13338,0,4640,4495,67,468,2627,2510,2791,5567,319,38,Upper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income CountryUpper Middle Income Country,58144247,91695623,-56.027783,3.919305
Sweden,296,55358,11877,1181,0,968,1217,35,237,3759,876,362443,26950,1342,3702,14085,17,7322,626,249052,9,19782,17741,328,979,3956,41855,10459,31487,921,30,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,3861343,4886271,18.643501,60.128161
Switzerland,295,48849,9463,870,0,575,602,50,497,2158,436,249686,18938,1807,2892,13568,133,2421,124,205690,0,14501,21124,112,685,3968,30954,11468,31017,432,44,High Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income CountryHigh Income Country,1027770,1281187,8.227512,46.818188
